timestamp,event,TCP_pose,joint_angles,TCP_force
28.64799999999991,End transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28.663999999999987,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29.327999999999975,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29.34400000000005,Start C#4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30.008000000000038,End C#4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30.024000000000115,Start D4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30.632000000000062,End D4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30.672000000000025,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.336000000000013,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31.392000000000053,Start A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.039999999999964,End A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.072000000000116,Start transition on A-D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.24000000000001,End transition on A-D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.256000000000085,Start F#3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.92000000000007,End F#3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32.93599999999992,Start E3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34.271999999999935,End E3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34.28800000000001,Start transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34.42399999999998,End transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34.440000000000055,Start D4 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
