event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
cross,,,0.308,0.334,0.206,0.0,-0.05248193928190892,-2.40574068478347,A,D,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.04
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.05
note,D,transition,0.308,0.334,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.06
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.07
note,D,transition,0.308,0.33399999999999996,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.08
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.09
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.1
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.11
note,D,transition,0.30799999999999994,0.334,0.20599999999999996,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.12
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.13
note,D,transition,0.308,0.334,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.14
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.15
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.160000000000004
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.17
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.18
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.19
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.2
note,D,transition,0.308,0.334,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.21
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.22
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.230000000000004
note,D,transition,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.24
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.25
note,D,up,0.308,0.3340000000000001,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.26
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.27
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.28
note,D,up,0.308,0.3340000000000001,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.29
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.3
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.31
note,D,up,0.308,0.33399999999999996,0.20599999999999996,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.32
note,D,up,0.308,0.3340000000000001,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.33
note,D,up,0.308,0.334,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.34
note,D,up,0.30799999999999994,0.334,0.20599999999999996,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.35
note,D,up,0.30800000000000005,0.3340000000000001,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.36
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.37
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.38
note,D,up,0.308,0.334,0.206,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.39
note,D,up,0.308,0.334,0.20600000000000002,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.4
note,D,up,0.308,0.334,0.20599999999999996,0.0,-0.05248193928190914,-2.40574068478347,,,-2.050253097975164,-0.019461773572788665,1.754667154898091,-4.084071107815195,0.6612050305054287,-0.43781857579079686,33.410000000000004
