timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9446.688,1.272,3,Playing d_bow...,Note,57,A3,A,0.726958,0.335288,0.74753,0.133608,-1.600433,-2.235591,1.220199,-2.2478,-0.323764,0.701343,-1.10531,-1.486634,-2.611549,0.948089,-0.323042,-0.753997,0.131884,0.184695,0.157086,A
9446.696,1.28,3,Playing d_bow...,Note,57,A3,A,0.718958,0.334705,0.748807,0.132842,-1.599236,-2.238242,1.223357,-2.246282,-0.319371,0.693764,-1.100852,-1.488676,-2.611018,1.183243,-0.752466,-0.763799,0.128421,0.174512,0.154573,A
9446.704,1.288,3,Playing d_bow...,Note,57,A3,A,0.710958,0.334116,0.750082,0.132137,-1.59815,-2.241036,1.226081,-2.244765,-0.315048,0.686185,-1.096634,-1.490686,-2.610476,1.392151,0.009618,-1.334823,0.11088,0.210256,0.176679,A
9446.712,1.296,3,Playing d_bow...,Note,57,A3,A,0.702958,0.333538,0.751318,0.131416,-1.597023,-2.243719,1.228752,-2.243286,-0.310768,0.678754,-1.092509,-1.492602,-2.609988,1.715729,-0.197093,-0.328021,0.124772,0.184382,0.156827,A
9446.72,1.304,3,Playing d_bow...,Note,57,A3,A,0.694958,0.332921,0.752538,0.130696,-1.595852,-2.246413,1.23155,-2.241784,-0.30655,0.671438,-1.08836,-1.49455,-2.609493,0.94436,0.042698,-0.499648,0.131248,0.206168,0.172097,A
9446.728,1.312,3,Playing d_bow...,Note,57,A3,A,0.686958,0.332279,0.753731,0.129914,-1.594606,-2.249088,1.234514,-2.240279,-0.302317,0.664251,-1.084236,-1.496529,-2.609017,1.493083,-1.08508,0.174765,0.144787,0.183795,0.152208,A
9446.736,1.32,3,Playing d_bow...,Note,57,A3,A,0.678958,0.331649,0.754904,0.129119,-1.593407,-2.25151,1.237669,-2.238808,-0.298096,0.657116,-1.079984,-1.498416,-2.608487,0.811826,-0.63643,-1.435282,0.131693,0.228133,0.179306,A
9446.744,1.328,3,Playing d_bow...,Note,57,A3,A,0.670958,0.330988,0.756078,0.128392,-1.592187,-2.254177,1.240357,-2.237303,-0.293963,0.650009,-1.076,-1.500282,-2.608027,1.103573,0.223445,-1.363855,0.134324,0.213595,0.175747,A
9446.752,1.336,3,Playing d_bow...,Note,57,A3,A,0.662958,0.330366,0.757202,0.127685,-1.591092,-2.256643,1.243078,-2.23588,-0.28995,0.643099,-1.072042,-1.50209,-2.607517,0.698546,-0.436703,-1.133499,0.134531,0.230483,0.183423,A
9446.76,1.344,3,Playing d_bow...,Note,57,A3,A,0.654958,0.329762,0.758294,0.127013,-1.589974,-2.259116,1.245775,-2.234497,-0.286011,0.636249,-1.068079,-1.503919,-2.607049,0.705497,0.211679,-0.73507,0.137707,0.226077,0.180971,A
